epoch,object,rv,rv_err,instrument,sep,sep_err,pa,pa_err
55606.68639450986,0,-0.027160442710800498,0.0012437185049057,hires_j,,,,
55606.68748256983,0,-0.0224072540344379,0.00126932156085968,hires_j,,,,
55904.67193028983,0,-0.09099449914976541,0.0009703689813613891,hires_j,,,,
56109.25608116016,0,-0.132725898424884,0.0010721091032028201,hires_j,,,,
56114.25139121013,0,-0.129469796891313,0.00107459247112274,hires_j,,,,
56319.603330850136,0,-0.169219324816826,0.00112071132659912,hires_j,,,,
56639.610955529846,0,-0.21677997185298,0.0010182317495346098,hires_j,,,,
56640.5838741702,0,-0.21644790462501598,0.00096165269613266,hires_j,,,,
56827.26302416017,0,-0.244293089411713,0.00107109296321869,hires_j,,,,
56829.24093641015,0,-0.242229123294939,0.00103486633300781,hires_j,,,,
56851.240665659774,0,-0.245171956091794,0.0010743378400802602,hires_j,,,,
57057.46796726994,0,-0.271097045289099,0.00119777524471283,hires_j,,,,
57061.476224930026,0,-0.274270567704006,0.00106518876552582,hires_j,,,,
57061.640900619794,0,-0.27360586442865903,0.00115150463581085,hires_j,,,,
57150.42249112995,0,-0.281634967965106,0.00117491722106934,hires_j,,,,
57200.245766450185,0,-0.2912212118857,0.00107927799224854,hires_j,,,,
57411.68569472991,0,-0.318579214902768,0.00109914755821228,hires_j,,,,
57556.24428104004,0,-0.33545167895995603,0.00104954349994659,hires_j,,,,
57711.666652780026,0,-0.351012112872138,0.00124238693714142,hires_j,,,,
57764.63345981017,0,-0.35447564197644094,0.0012429099082946799,hires_j,,,,
57774.68960777996,0,-0.355372360143755,0.00128530120849609,hires_j,,,,
57804.41639161995,0,-0.353830477480116,0.00125237882137299,hires_j,,,,
54084.572896829806,0,0.390762243411334,0.0010196099281311,hires_j,,,,
54084.57393892994,0,0.391722218827763,0.00106414139270782,hires_j,,,,
54084.575062039774,0,0.39097920814345805,0.00105576193332672,hires_j,,,,
57939.23687579995,0,-0.36658998397618303,0.0011033166646957399,hires_j,,,,
57940.287354909815,0,-0.370485398479642,0.00103421318531036,hires_j,,,,
54138.59512624005,0,0.377018884312453,0.000988640666007996,hires_j,,,,
54138.59584429022,0,0.378075706791325,0.000970608949661255,hires_j,,,,
54138.59653834021,0,0.37852855869227003,0.00104340946674347,hires_j,,,,
58284.24013685994,0,-0.39599224923028603,0.0009885563254356379,hires_j,,,,
58307.2541373102,0,-0.39679687316702106,0.0011876800060272202,hires_j,,,,
54216.41889033979,0,0.349583907459415,0.0009822132587432857,hires_j,,,,
54216.41973529989,0,0.349000599732903,0.000993163347244263,hires_j,,,,
54216.42049926007,0,0.35301901602350405,0.00105428409576416,hires_j,,,,
58491.58958608983,0,-0.409622950234569,0.0010124907493591299,hires_j,,,,
58615.25673860032,0,-0.41296638618669,0.00133817315101624,hires_j,,,,
54454.61398267979,0,0.276847549366489,0.0010974261760711699,hires_j,,,,
54455.637267149985,0,0.27452967567767295,0.0010444747209549,hires_j,,,,
54460.648320659995,0,0.276877941184895,0.00111599326133728,hires_j,,,,
54461.60749119008,0,0.277446067096551,0.0012261050939559898,hires_j,,,,
54463.6013577003,0,0.27675623329447396,0.00130799329280853,hires_j,,,,
54492.63381863991,0,0.262266352312495,0.00112937605381012,hires_j,,,,
54547.46531587001,0,0.254482550754706,0.0011458266973495498,hires_j,,,,
54548.47751962021,0,0.24917744005371498,0.0011649512052536,hires_j,,,,
54643.25474333018,0,0.22114015259185502,0.0011383535861968998,hires_j,,,,
